	Hunmong	mongeum
蚣	지네	고ᇰ
蛭	거머리	딜
蟥	거머리	화ᇰ
蜤	되료ᇰ	셕
蜴	되료ᇰ	텩
蠑	도마ᄇᆡ얌	여ᇰ
蚖	도마ᄇᆡ얌	원
螞	묏도기	마
蚱	묏도기	자
蝗	묏도기	화ᇰ
螽	묏도기	죠ᇰ
螺	골와ᇰ이	라
螄	골와ᇰ이	ᄉᆞ
螌	갈외	반
蝥	갈외	모
蟋	귓도라미	실
蟀	귓도라미	솔
蟻	가야미	의
蛬	귓도라미	고ᇰ
虼	벼록	걸
蚤	벼록	조
蟣	혀	긔
蝨	니	슬
蜉	ᄒᆞᄅᆞ사리	부
蝣	ᄒᆞᄅᆞ사리	유
蠛	누네노리	멸
蠓	누네노리	모ᇰ
蛆	귀더기	져
蜂	벌	보ᇰ
蛀	좀	쥬
蠹	좀	두
蚮	ᄃᆡ못	ᄃᆡ
蝐	ᄃᆡ못	모
蠮	바ᄃᆞ리	예
螉	바ᄃᆞ리	오ᇰ
蝦	머구리	하
蟆	머구리	마
蟾	두터비	셤
蜍	두터비	여
蝌	올차ᇰ이	과
蚪	올차ᇰ이	두
蛞	올차ᇰ이	활
𧓕	올차ᇰ이	도ᇰ
身	몸	신
貌	즛	모
肢	ᄉᆞ짓	지
體	몸	톄
顔	ᄂᆞᆺ	안
面	ᄂᆞᆺ	면
形	얼굴	혀ᇰ
容	즛	요ᇰ
頭	머리	두
首	마리	슈
頂	뎌ᇰ바기	뎌ᇰ
䪿	가마	신
額	니마	ᄋᆡᆨ
顱	ᄃᆡ골	로
顁	니마	뎌ᇰ
䫙	니마	사ᇰ
顋	ᄲᅡᆷ	싀
頰	보죠개	협
顴	ᄲᅣᆷ	관
臉	ᄂᆞᆺ	렴
𩓐	목	ᄇᆞᆯ
頸	목	겨ᇰ
脰	목	두
項	목	하ᇰ
眼	눈	안
目	눈	목
睛	눈ᄌᆞᅀᆡ	쳐ᇰ
瞳	누ᇇ부텨	도ᇰ
眸	누ᇇ마ᇰ올	모
瞼	누ᇇ두에	검
眉	눈섭	미
睫	눈시올	쳡
鬢	구믿	비ᇰ
頤	ᄐᆞᆨ	이
頷	ᄐᆞᆨ	함
頦	ᄐᆞᆨ	ᄒᆡ
胳	쟈개얌	각
腋	쟈개얌	ᄋᆡᆨ
肋	녑발치	륵
脇	녑구레	협
肩	엇개	견
臑	엇게	뇨
腢	엇게	우
胛	엇게	갑
拳	주머귀	권
腡	손금	과
肐	ᄑᆞᆯ	걸
膊	ᄑᆞᆯ독	박
口	입	구
舌	혀	셜
脣	입시울	슌
吻	입아괴	믄
牙	엄	이
齒	니	치
齗	닛믜임	은
腭	거훔	악
肱	ᄑᆞᆯ	괴ᇰ
臂	ᄑᆞᆯ	비
手	손	슈
掌	소ᇇ바독	쟈ᇰ
指	소ᇇ가락	지
爪	소ᇇ돕	조
肘	ᄑᆞᆯ구브러ᇰ	듀
腕	손목	완
腓	허튀	비
踦	허튀	긔
腨	허튓 ᄇᆡ	쳔
臁	허튓 녑	렴
脛	허튓 ᄲᅧ	혀ᇰ
胻	허튓 ᄲᅧ	ᄒᆡᇰ
骹	허튓 ᄲᅧ	교
骭	허튓 ᄲᅧ	한
喉	목ᄭᅮ무	후
嚨	목ᄭᅮ무	로ᇰ
咽	목ᄭᅮ무	연
嗓	목쥴뒤	사ᇰ
耳	귀	ᅀᅵ
𦖋	귓구무	타
鼻	고	비
準	곳ᄆᆞᄅᆞ	쥰
心	념토ᇰ	심
肝	가ᇇ〮	간
脾	말하	비
肺	부화	폐
膓	애	댜ᇰ
胃	야ᇰ	위
膽	ᄡᅳᆯ게	담
腎	코ᇰᄑᆞᆺ	신
胸	가ᄉᆞᆷ	휴ᇰ
膛	가ᄉᆞᆷ	다ᇰ
膺	가ᄉᆞᆷ	으ᇰ
臆	가ᄉᆞᆷ	억
軀	몸	구
膈	가ᄉᆞᆷ	격
嬭	졋	내
乳	졋	ᅀᅲ
毗	ᄇᆡᆺ복	비
胦	ᄇᆡᆺ복	아ᇰ
脖	ᄇᆡᆺ복	발
臍	ᄇᆡᆺ복	졔
背	드ᇰ	ᄇᆡ
脊	드ᇰᄆᆞᄅᆞ	쳑
腰	허리	요
膂	허리	려
腿	싄다리	퇴
胯	다리	과
髀	다리	비
股	다리	고
尻	오미뇌	고
脽	오미뇌	슈
臀	믿	둔
肛	믿	하ᇰ
膝	무룹	슬
膕	무룹	국
𦚼	오곰	곡
䐐	오곰	츄
尿	오좀	뇨
脬	오좀ᄭᅢ	포
膀	오좀ᄭᅢ	바ᇰ
胱	오좀ᄭᅢ	과ᇰ
髮	터럭	발
鬚	입거웃	슈
